material_type,quality_grade,quantity,unit,age_years,damage_percentage,original_price,current_market_price,location,transport_distance,demand_score,reuse_score,selling_price
Granite Slabs,Grade B,250.0,sq.ft,1.6,10.3,47500.0,49875.0,Delhi,40.5,1.1,55.00000000000001,24907.0
Asbestos / Hazardous Sheeting,Grade E,100.0,sq.ft,3.5,76.7,0.0,0.0,Chennai,16.1,1.02,0.0,0.0
Granite Slabs,Grade B,100.0,sq.ft,3.8,28.2,19000.0,19950.0,Delhi,13.5,1.1,55.00000000000001,10043.0
Granite Slabs,Grade B,100.0,sq.ft,0.6,11.2,19000.0,19950.0,Chennai,5.6,1.02,55.00000000000001,10219.0
Marble Slabs,Grade B,800.0,sq.ft,0.4,6.4,168000.0,176400.0,Mysuru,25.4,0.95,55.00000000000001,88384.0
Granite Slabs,Grade C,250.0,sq.ft,2.2,47.4,47500.0,49875.0,Hyderabad,18.4,1.05,38.0,14345.0
Granite Slabs,Grade A,250.0,sq.ft,1.6,31.7,47500.0,49875.0,Mumbai,42.9,1.18,75.0,36571.0
Red Bricks,Grade D,5000.0,Pieces,1.2,73.1,55000.0,57750.0,Mumbai,30.2,1.18,22.0,8027.0
Aluminum Windows,Grade C,5000.0,Pieces,7.0,35.5,14000000.0,14700000.0,Bangalore,26.1,1.12,38.0,5187636.0
TMT Steel Rods,Grade B,1000.0,kg,0.4,32.2,58000.0,60900.0,Pune,26.8,1.06,55.00000000000001,26305.0
Sanitaryware Ceramics,Grade D,100.0,Pieces,0.8,70.7,85000.0,89250.0,Mumbai,34.4,1.18,22.0,12796.0
Construction Sand,Grade A,10.0,Tonnes,0.4,10.1,18000.0,18900.0,Mumbai,14.5,1.18,75.0,15382.0
Electrical Wiring & Panels,Grade C,500.0,Pieces,0.9,69.0,110000.0,115500.0,Mumbai,25.3,1.18,38.0,29566.0
Galvanized Iron (GI) Pipes,Grade B,200.0,Pieces,5.6,20.6,110000.0,115500.0,Hyderabad,44.2,1.05,55.00000000000001,57826.0
Construction Sand,Grade B,5.0,Tonnes,1.8,13.4,9000.0,9450.0,Mumbai,6.8,1.18,55.00000000000001,5399.0
Ceramic Floor Tiles,Grade C,100.0,sq.ft,5.6,80.2,4200.0,4410.0,Pune,31.2,1.06,38.0,834.0
Red Bricks,Grade B,50.0,Pieces,0.7,13.7,550.0,577.5,Mysuru,24.8,0.95,55.00000000000001,237.0
Red Bricks,Grade D,1000.0,Pieces,9.7,73.9,11000.0,11550.0,Hyderabad,8.3,1.05,22.0,1444.0
Structural Wood / Timber,Grade D,250.0,sq.ft,3.5,70.1,32500.0,34125.0,Hyderabad,15.1,1.05,22.0,4154.0
Red Bricks,Grade D,50.0,Pieces,1.0,87.5,550.0,577.5,Delhi,40.4,1.1,22.0,63.0
Cement Blocks,Grade B,50.0,Pieces,2.3,27.8,2600.0,2730.0,Mysuru,17.3,0.95,55.00000000000001,1121.0
Marble Slabs,Grade A,800.0,sq.ft,5.6,30.2,168000.0,176400.0,Mumbai,42.2,1.18,75.0,106817.0
Structural Wood / Timber,Grade B,100.0,sq.ft,6.4,7.2,13000.0,13650.0,Bangalore,40.1,1.12,55.00000000000001,7878.0
Cement Blocks,Grade A,50.0,Pieces,1.8,5.2,2600.0,2730.0,Mysuru,29.4,0.95,75.0,1752.0
TMT Steel Rods,Grade B,3000.0,kg,5.4,18.2,174000.0,182700.0,Mysuru,45.2,0.95,55.00000000000001,83209.0
Natural Stone Slabs,Grade C,60.0,Tonnes,1.0,79.0,66000.0,69300.0,Chennai,5.1,1.02,38.0,13507.0
Corrugated Roofing Sheets,Grade B,250.0,sq.ft,5.4,5.7,16250.0,17062.5,Mysuru,49.9,0.95,55.00000000000001,8173.0
Red Bricks,Grade E,100.0,Pieces,1.6,78.6,1100.0,1155.0,Hyderabad,31.1,1.05,0.0,0.0
Window Glass,Grade A,500.0,sq.ft,1.4,28.5,37500.0,39375.0,Pune,6.8,1.06,75.0,24173.0
Marble Slabs,Grade A,500.0,sq.ft,10.8,27.1,105000.0,110250.0,Hyderabad,20.6,1.05,75.0,66368.0
Galvanized Iron (GI) Pipes,Grade B,1000.0,Pieces,0.6,28.9,550000.0,577500.0,Mysuru,35.0,0.95,55.00000000000001,232056.0
Window Glass,Grade B,1200.0,sq.ft,0.6,23.5,90000.0,94500.0,Hyderabad,12.4,1.05,55.00000000000001,44917.0
TMT Steel Rods,Grade B,1500.0,kg,2.9,29.1,87000.0,91350.0,Delhi,10.0,1.1,55.00000000000001,44711.0
Galvanized Iron (GI) Pipes,Grade B,200.0,Pieces,4.1,8.5,110000.0,115500.0,Pune,33.9,1.06,55.00000000000001,62687.0
Construction Sand,Grade C,5.0,Tonnes,1.4,65.4,9000.0,9450.0,Hyderabad,48.4,1.05,38.0,2211.0
Corrugated Roofing Sheets,Grade B,250.0,sq.ft,0.8,17.2,16250.0,17062.5,Mumbai,38.6,1.18,55.00000000000001,9032.0
Red Bricks,Grade B,200.0,Pieces,6.6,5.4,2200.0,2310.0,Delhi,43.0,1.1,55.00000000000001,1295.0
Marble Slabs,Grade B,800.0,sq.ft,3.9,28.1,168000.0,176400.0,Delhi,26.6,1.1,55.00000000000001,82202.0
Natural Stone Slabs,Grade B,10.0,Tonnes,9.4,3.0,11000.0,11550.0,Pune,23.3,1.06,55.00000000000001,6492.0
Red Bricks,Grade A,2000.0,Pieces,2.7,35.4,22000.0,23100.0,Chennai,11.4,1.02,75.0,13379.0
Mixed Demolition Waste,Grade C,10.0,Tonnes,0.7,49.1,4500.0,4725.0,Chennai,32.0,1.02,38.0,1214.0
Asbestos / Hazardous Sheeting,Grade E,250.0,sq.ft,0.2,74.7,0.0,0.0,Delhi,38.7,1.1,0.0,0.0
Ceramic Floor Tiles,Grade B,500.0,sq.ft,0.5,12.7,21000.0,22050.0,Pune,9.6,1.06,55.00000000000001,11476.0
Construction Sand,Grade B,15.0,Tonnes,3.9,14.5,27000.0,28350.0,Chennai,33.4,1.02,55.00000000000001,13610.0
Flush Doors,Grade B,2000.0,Pieces,6.5,30.1,8400000.0,8820000.0,Delhi,27.5,1.1,55.00000000000001,4278011.0
Red Bricks,Grade B,2000.0,Pieces,0.9,38.8,22000.0,23100.0,Hyderabad,43.5,1.05,55.00000000000001,9363.0
Red Bricks,Grade A,200.0,Pieces,13.1,16.9,2200.0,2310.0,Hyderabad,15.8,1.05,75.0,1585.0
Window Glass,Grade A,1200.0,sq.ft,2.2,2.5,90000.0,94500.0,Delhi,8.2,1.1,75.0,74491.0
Concrete Rubble,Grade B,25.0,Tonnes,2.6,33.0,30000.0,31500.0,Mysuru,23.6,0.95,55.00000000000001,11972.0
TMT Steel Rods,Grade A,200.0,kg,0.7,41.5,11600.0,12180.0,Hyderabad,30.6,1.05,75.0,6661.0
Concrete Rubble,Grade C,60.0,Tonnes,3.1,75.8,72000.0,75600.0,Hyderabad,34.1,1.05,38.0,15652.0
Window Glass,Grade C,500.0,sq.ft,2.3,69.8,37500.0,39375.0,Mumbai,23.4,1.18,38.0,9038.0
Electrical Wiring & Panels,Grade A,200.0,Pieces,12.7,20.5,44000.0,46200.0,Mysuru,32.5,0.95,75.0,28038.0
Construction Sand,Grade B,10.0,Tonnes,1.9,18.8,18000.0,18900.0,Mysuru,29.7,0.95,55.00000000000001,8176.0
Aluminum Windows,Grade D,2000.0,Pieces,1.7,47.9,5600000.0,5880000.0,Hyderabad,26.7,1.05,22.0,922440.0
Window Glass,Grade C,1200.0,sq.ft,1.7,70.7,90000.0,94500.0,Bangalore,26.5,1.12,38.0,21978.0
Marble Slabs,Grade C,100.0,sq.ft,0.5,42.0,21000.0,22050.0,Pune,32.4,1.06,38.0,6549.0
Galvanized Iron (GI) Pipes,Grade C,2000.0,Pieces,2.1,47.7,1100000.0,1155000.0,Pune,8.6,1.06,38.0,308618.0
Natural Stone Slabs,Grade C,40.0,Tonnes,2.9,73.8,44000.0,46200.0,Pune,49.9,1.06,38.0,9734.0
Construction Sand,Grade B,40.0,Tonnes,2.7,5.1,72000.0,75600.0,Pune,33.1,1.06,55.00000000000001,41124.0
Concrete Rubble,Grade E,25.0,Tonnes,0.4,54.9,30000.0,31500.0,Pune,50.0,1.06,0.0,0.0
Aluminum Windows,Grade A,1000.0,Pieces,2.8,20.7,2800000.0,2940000.0,Pune,12.3,1.06,75.0,1952375.0
Granite Slabs,Grade D,500.0,sq.ft,0.3,63.8,95000.0,99750.0,Hyderabad,14.9,1.05,22.0,14207.0
Asbestos / Hazardous Sheeting,Grade E,1200.0,sq.ft,1.4,43.4,0.0,0.0,Mysuru,17.3,0.95,0.0,0.0
Concrete Rubble,Grade B,40.0,Tonnes,2.0,11.4,48000.0,50400.0,Mumbai,49.6,1.18,55.00000000000001,28382.0
Asbestos / Hazardous Sheeting,Grade E,1200.0,sq.ft,1.1,60.7,0.0,0.0,Delhi,22.9,1.1,0.0,0.0
PVC Pipes,Grade B,100.0,Pieces,1.2,25.4,26000.0,27300.0,Pune,23.5,1.06,55.00000000000001,12450.0
Asbestos / Hazardous Sheeting,Grade E,800.0,sq.ft,1.8,46.4,0.0,0.0,Mumbai,33.9,1.18,0.0,0.0
Natural Stone Slabs,Grade C,10.0,Tonnes,5.2,59.8,11000.0,11550.0,Pune,36.7,1.06,38.0,2767.0
Red Bricks,Grade A,50.0,Pieces,1.1,33.7,550.0,577.5,Pune,48.2,1.06,75.0,362.0
Red Bricks,Grade B,50.0,Pieces,3.3,37.6,550.0,577.5,Delhi,5.4,1.1,55.00000000000001,244.0
Window Glass,Grade B,100.0,sq.ft,0.9,13.0,7500.0,7875.0,Bangalore,16.2,1.12,55.00000000000001,4497.0
Construction Sand,Grade D,15.0,Tonnes,1.3,77.3,27000.0,28350.0,Bangalore,47.8,1.12,22.0,3540.0
Ceramic Floor Tiles,Grade A,1200.0,sq.ft,1.0,7.4,50400.0,52920.0,Delhi,46.1,1.1,75.0,42117.0
Red Bricks,Grade A,100.0,Pieces,13.5,18.2,1100.0,1155.0,Mysuru,33.2,0.95,75.0,710.0
Sanitaryware Ceramics,Grade B,500.0,Pieces,11.1,4.1,425000.0,446250.0,Chennai,42.2,1.02,55.00000000000001,244848.0
Aluminum Windows,Grade E,100.0,Pieces,1.2,70.7,280000.0,294000.0,Delhi,30.3,1.1,0.0,0.0
Structural Wood / Timber,Grade C,250.0,sq.ft,0.4,67.3,32500.0,34125.0,Chennai,23.7,1.02,38.0,7374.0
Granite Slabs,Grade C,1200.0,sq.ft,1.3,77.0,228000.0,239400.0,Chennai,13.9,1.02,38.0,45982.0
Marble Slabs,Grade A,1200.0,sq.ft,0.8,5.2,252000.0,264600.0,Mumbai,26.6,1.18,75.0,231619.0
Granite Slabs,Grade B,500.0,sq.ft,0.3,9.1,95000.0,99750.0,Pune,18.4,1.06,55.00000000000001,54901.0
Ceramic Floor Tiles,Grade E,250.0,sq.ft,4.1,60.9,10500.0,11025.0,Bangalore,19.9,1.12,0.0,0.0
Granite Slabs,Grade B,1200.0,sq.ft,1.2,15.5,228000.0,239400.0,Hyderabad,39.7,1.05,55.00000000000001,118759.0
Granite Slabs,Grade A,1200.0,sq.ft,2.1,16.3,228000.0,239400.0,Pune,30.1,1.06,75.0,164379.0
Marble Slabs,Grade C,500.0,sq.ft,1.2,31.4,105000.0,110250.0,Pune,20.4,1.06,38.0,34730.0
Cement Blocks,Grade B,50.0,Pieces,0.6,10.9,2600.0,2730.0,Mumbai,19.6,1.18,55.00000000000001,1568.0
Structural Wood / Timber,Grade A,1200.0,sq.ft,0.7,16.7,156000.0,163800.0,Chennai,35.1,1.02,75.0,103423.0
Cement Blocks,Grade D,100.0,Pieces,4.9,55.7,5200.0,5460.0,Delhi,9.7,1.1,22.0,830.0
PVC Pipes,Grade C,2000.0,Pieces,0.8,40.8,520000.0,546000.0,Chennai,41.7,1.02,38.0,142595.0
Aluminum Windows,Grade A,1000.0,Pieces,6.7,6.3,2800000.0,2940000.0,Mysuru,6.2,0.95,75.0,1891285.0
Sanitaryware Ceramics,Grade C,100.0,Pieces,1.9,68.6,85000.0,89250.0,Hyderabad,40.3,1.05,38.0,19315.0
Structural Wood / Timber,Grade B,250.0,sq.ft,5.7,21.9,32500.0,34125.0,Delhi,16.7,1.1,55.00000000000001,16429.0
Electrical Wiring & Panels,Grade B,100.0,Pieces,0.8,20.4,22000.0,23100.0,Chennai,33.8,1.02,55.00000000000001,9673.0
Sanitaryware Ceramics,Grade D,5000.0,Pieces,1.3,57.4,4250000.0,4462500.0,Delhi,13.3,1.1,22.0,689304.0
Structural Wood / Timber,Grade A,1200.0,sq.ft,3.5,1.5,156000.0,163800.0,Mumbai,41.1,1.18,75.0,137528.0
Corrugated Roofing Sheets,Grade B,500.0,sq.ft,2.1,12.3,32500.0,34125.0,Hyderabad,12.4,1.05,55.00000000000001,17745.0
Asbestos / Hazardous Sheeting,Grade E,1200.0,sq.ft,2.2,68.1,0.0,0.0,Bangalore,7.3,1.12,0.0,0.0
Marble Slabs,Grade A,500.0,sq.ft,3.2,17.2,105000.0,110250.0,Chennai,12.0,1.02,75.0,66174.0
Construction Sand,Grade B,10.0,Tonnes,1.7,5.1,18000.0,18900.0,Mysuru,19.6,0.95,55.00000000000001,8587.0
Mixed Demolition Waste,Grade A,15.0,Tonnes,1.1,19.9,6750.0,7087.5,Bangalore,48.0,1.12,75.0,4849.0
Marble Slabs,Grade C,1200.0,sq.ft,1.5,73.3,252000.0,264600.0,Chennai,43.1,1.02,38.0,57262.0
Natural Stone Slabs,Grade B,25.0,Tonnes,5.9,10.3,27500.0,28875.0,Delhi,49.1,1.1,55.00000000000001,15201.0
Asbestos / Hazardous Sheeting,Grade E,800.0,sq.ft,4.7,44.1,0.0,0.0,Pune,15.3,1.06,0.0,0.0
Construction Sand,Grade B,5.0,Tonnes,1.3,11.0,9000.0,9450.0,Mysuru,43.8,0.95,55.00000000000001,4322.0
Asbestos / Hazardous Sheeting,Grade E,800.0,sq.ft,0.4,60.5,0.0,0.0,Pune,36.0,1.06,0.0,0.0
Natural Stone Slabs,Grade E,40.0,Tonnes,1.0,70.8,44000.0,46200.0,Chennai,47.5,1.02,0.0,0.0
Cement Blocks,Grade C,2000.0,Pieces,10.0,37.5,104000.0,109200.0,Hyderabad,9.5,1.05,38.0,31349.0
Construction Sand,Grade B,40.0,Tonnes,0.5,17.6,72000.0,75600.0,Chennai,5.1,1.02,55.00000000000001,36334.0
Construction Sand,Grade B,25.0,Tonnes,4.6,26.1,45000.0,47250.0,Mumbai,41.0,1.18,55.00000000000001,24712.0
Granite Slabs,Grade B,100.0,sq.ft,6.3,13.3,19000.0,19950.0,Hyderabad,19.2,1.05,55.00000000000001,9388.0
Marble Slabs,Grade E,100.0,sq.ft,3.7,59.1,21000.0,22050.0,Hyderabad,13.3,1.05,0.0,0.0
Sanitaryware Ceramics,Grade B,500.0,Pieces,3.7,9.6,425000.0,446250.0,Pune,21.0,1.06,55.00000000000001,233126.0
Structural Wood / Timber,Grade B,100.0,sq.ft,2.2,18.0,13000.0,13650.0,Mysuru,45.9,0.95,55.00000000000001,6216.0
Cement Blocks,Grade B,100.0,Pieces,2.8,14.7,5200.0,5460.0,Bangalore,44.5,1.12,55.00000000000001,3124.0
Aluminum Windows,Grade B,5000.0,Pieces,2.4,34.3,14000000.0,14700000.0,Delhi,48.2,1.1,55.00000000000001,6306983.0
Aluminum Windows,Grade B,5000.0,Pieces,0.7,15.1,14000000.0,14700000.0,Hyderabad,42.3,1.05,55.00000000000001,7591222.0
Aluminum Windows,Grade B,2000.0,Pieces,7.7,32.0,5600000.0,5880000.0,Hyderabad,12.9,1.05,55.00000000000001,2571985.0
Concrete Rubble,Grade B,10.0,Tonnes,0.4,6.5,12000.0,12600.0,Mysuru,12.1,0.95,55.00000000000001,5865.0
Granite Slabs,Grade C,500.0,sq.ft,6.4,30.6,95000.0,99750.0,Pune,38.2,1.06,38.0,31438.0
Corrugated Roofing Sheets,Grade C,1200.0,sq.ft,8.1,69.0,78000.0,81900.0,Mumbai,37.1,1.18,38.0,20469.0
Electrical Wiring & Panels,Grade B,1000.0,Pieces,3.7,12.0,220000.0,231000.0,Chennai,24.1,1.02,55.00000000000001,116018.0
Concrete Rubble,Grade A,25.0,Tonnes,1.7,33.7,30000.0,31500.0,Chennai,27.6,1.02,75.0,17193.0
Window Glass,Grade B,500.0,sq.ft,3.6,22.9,37500.0,39375.0,Chennai,30.0,1.02,55.00000000000001,17817.0
Mixed Demolition Waste,Grade B,5.0,Tonnes,6.7,11.4,2250.0,2362.5,Pune,29.1,1.06,55.00000000000001,1121.0
Window Glass,Grade B,250.0,sq.ft,0.9,6.5,18750.0,19687.5,Mysuru,24.8,0.95,55.00000000000001,9243.0
TMT Steel Rods,Grade B,3000.0,kg,1.7,12.6,174000.0,182700.0,Pune,27.4,1.06,55.00000000000001,101245.0
Ceramic Floor Tiles,Grade A,250.0,sq.ft,1.1,42.9,10500.0,11025.0,Pune,31.7,1.06,75.0,6196.0
Granite Slabs,Grade B,1200.0,sq.ft,7.2,9.8,228000.0,239400.0,Hyderabad,32.3,1.05,55.00000000000001,121737.0
Red Bricks,Grade B,500.0,Pieces,1.2,19.6,5500.0,5775.0,Mumbai,30.8,1.18,55.00000000000001,3128.0
Galvanized Iron (GI) Pipes,Grade C,2000.0,Pieces,1.0,83.6,1100000.0,1155000.0,Chennai,14.7,1.02,38.0,213349.0
Concrete Rubble,Grade C,40.0,Tonnes,4.3,73.1,48000.0,50400.0,Hyderabad,36.5,1.05,38.0,10637.0
Electrical Wiring & Panels,Grade B,200.0,Pieces,5.6,22.3,44000.0,46200.0,Delhi,12.9,1.1,55.00000000000001,22264.0
Asbestos / Hazardous Sheeting,Grade E,250.0,sq.ft,12.3,47.5,0.0,0.0,Bangalore,38.0,1.12,0.0,0.0
Electrical Wiring & Panels,Grade B,2000.0,Pieces,4.5,23.0,440000.0,462000.0,Delhi,40.0,1.1,55.00000000000001,225407.0
Cement Blocks,Grade A,2000.0,Pieces,0.9,19.7,104000.0,109200.0,Pune,8.2,1.06,75.0,73068.0
Structural Wood / Timber,Grade A,250.0,sq.ft,2.5,11.1,32500.0,34125.0,Chennai,10.0,1.02,75.0,24065.0
Flush Doors,Grade C,200.0,Pieces,1.3,71.6,840000.0,882000.0,Delhi,13.3,1.1,38.0,220791.0
Cement Blocks,Grade C,100.0,Pieces,10.2,75.9,5200.0,5460.0,Hyderabad,27.5,1.05,38.0,1074.0
Mixed Demolition Waste,Grade B,40.0,Tonnes,2.2,11.3,18000.0,18900.0,Chennai,28.5,1.02,55.00000000000001,9594.0
Concrete Rubble,Grade A,15.0,Tonnes,3.0,3.3,18000.0,18900.0,Hyderabad,15.7,1.05,75.0,13083.0
PVC Pipes,Grade C,200.0,Pieces,1.3,80.7,52000.0,54600.0,Chennai,23.5,1.02,38.0,9729.0
Ceramic Floor Tiles,Grade B,100.0,sq.ft,3.5,10.7,4200.0,4410.0,Pune,30.8,1.06,55.00000000000001,2252.0
Concrete Rubble,Grade A,5.0,Tonnes,0.8,20.9,6000.0,6300.0,Mysuru,36.0,0.95,75.0,3632.0
Electrical Wiring & Panels,Grade B,100.0,Pieces,1.8,7.9,22000.0,23100.0,Pune,43.7,1.06,55.00000000000001,11867.0
Cement Blocks,Grade B,200.0,Pieces,1.5,28.4,10400.0,10920.0,Hyderabad,30.2,1.05,55.00000000000001,4816.0
Aluminum Windows,Grade A,50.0,Pieces,7.6,22.3,140000.0,147000.0,Mysuru,19.4,0.95,75.0,88436.0
Ceramic Floor Tiles,Grade A,800.0,sq.ft,1.3,19.9,33600.0,35280.0,Bangalore,5.4,1.12,75.0,24330.0
Galvanized Iron (GI) Pipes,Grade B,500.0,Pieces,8.8,2.0,275000.0,288750.0,Chennai,39.0,1.02,55.00000000000001,162227.0
PVC Pipes,Grade A,2000.0,Pieces,13.1,25.1,520000.0,546000.0,Chennai,26.7,1.02,75.0,342291.0
Electrical Wiring & Panels,Grade B,200.0,Pieces,0.6,16.2,44000.0,46200.0,Mumbai,31.7,1.18,55.00000000000001,24587.0
Aluminum Windows,Grade B,1000.0,Pieces,4.1,21.6,2800000.0,2940000.0,Delhi,35.9,1.1,55.00000000000001,1452342.0
Red Bricks,Grade B,200.0,Pieces,10.2,16.6,2200.0,2310.0,Pune,40.2,1.06,55.00000000000001,1080.0
Concrete Rubble,Grade B,60.0,Tonnes,6.4,31.8,72000.0,75600.0,Hyderabad,16.9,1.05,55.00000000000001,34064.0
Galvanized Iron (GI) Pipes,Grade C,200.0,Pieces,2.6,48.5,110000.0,115500.0,Hyderabad,29.7,1.05,38.0,32322.0
Asbestos / Hazardous Sheeting,Grade E,500.0,sq.ft,2.6,64.3,0.0,0.0,Bangalore,39.2,1.12,0.0,0.0
Marble Slabs,Grade B,100.0,sq.ft,0.2,4.7,21000.0,22050.0,Pune,25.6,1.06,55.00000000000001,12557.0
TMT Steel Rods,Grade B,500.0,kg,2.4,16.1,29000.0,30450.0,Pune,30.2,1.06,55.00000000000001,15396.0
Marble Slabs,Grade B,500.0,sq.ft,0.7,21.7,105000.0,110250.0,Delhi,7.4,1.1,55.00000000000001,54768.0
Ceramic Floor Tiles,Grade C,500.0,sq.ft,1.2,64.6,21000.0,22050.0,Chennai,28.3,1.02,38.0,5025.0
Concrete Rubble,Grade B,10.0,Tonnes,1.6,11.2,12000.0,12600.0,Chennai,37.4,1.02,55.00000000000001,6068.0
PVC Pipes,Grade B,500.0,Pieces,1.1,22.6,130000.0,136500.0,Mysuru,49.6,0.95,55.00000000000001,57813.0
PVC Pipes,Grade C,2000.0,Pieces,0.6,74.4,520000.0,546000.0,Pune,14.1,1.06,38.0,113506.0
Marble Slabs,Grade A,500.0,sq.ft,1.1,26.0,105000.0,110250.0,Chennai,21.6,1.02,75.0,69084.0
Window Glass,Grade C,250.0,sq.ft,4.5,40.9,18750.0,19687.5,Delhi,38.6,1.1,38.0,6306.0
Corrugated Roofing Sheets,Grade D,1200.0,sq.ft,1.0,69.2,78000.0,81900.0,Delhi,44.2,1.1,22.0,10987.0
TMT Steel Rods,Grade C,200.0,kg,4.9,81.1,11600.0,12180.0,Chennai,41.0,1.02,38.0,2282.0
Sanitaryware Ceramics,Grade B,200.0,Pieces,1.0,0.3,170000.0,178500.0,Pune,47.2,1.06,55.00000000000001,106931.0
Electrical Wiring & Panels,Grade B,100.0,Pieces,2.1,20.8,22000.0,23100.0,Hyderabad,31.3,1.05,55.00000000000001,11292.0
Granite Slabs,Grade A,250.0,sq.ft,3.7,14.6,47500.0,49875.0,Hyderabad,40.7,1.05,75.0,32061.0
Sanitaryware Ceramics,Grade D,5000.0,Pieces,0.9,53.6,4250000.0,4462500.0,Mysuru,27.9,0.95,22.0,588090.0
Concrete Rubble,Grade A,25.0,Tonnes,3.3,29.2,30000.0,31500.0,Bangalore,23.1,1.12,75.0,21296.0
Galvanized Iron (GI) Pipes,Grade A,200.0,Pieces,4.6,20.2,110000.0,115500.0,Chennai,20.7,1.02,75.0,72777.0
Natural Stone Slabs,Grade D,40.0,Tonnes,4.6,39.3,44000.0,46200.0,Delhi,5.3,1.1,22.0,8864.0
Red Bricks,Grade A,1000.0,Pieces,0.6,20.3,11000.0,11550.0,Bangalore,19.0,1.12,75.0,8934.0
Flush Doors,Grade C,100.0,Pieces,0.9,66.8,420000.0,441000.0,Chennai,47.6,1.02,38.0,98051.0
Window Glass,Grade A,800.0,sq.ft,8.3,20.9,60000.0,63000.0,Chennai,15.9,1.02,75.0,42392.0
Cement Blocks,Grade B,2000.0,Pieces,1.4,13.7,104000.0,109200.0,Mumbai,25.3,1.18,55.00000000000001,67960.0
Aluminum Windows,Grade B,5000.0,Pieces,2.0,12.7,14000000.0,14700000.0,Chennai,25.4,1.02,55.00000000000001,7030615.0
Ceramic Floor Tiles,Grade B,800.0,sq.ft,0.6,36.8,33600.0,35280.0,Delhi,13.5,1.1,55.00000000000001,15867.0
Structural Wood / Timber,Grade A,500.0,sq.ft,5.6,35.0,65000.0,68250.0,Bangalore,39.1,1.12,75.0,41602.0
Construction Sand,Grade B,10.0,Tonnes,3.2,8.8,18000.0,18900.0,Mysuru,18.0,0.95,55.00000000000001,8875.0
PVC Pipes,Grade B,1000.0,Pieces,1.0,15.5,260000.0,273000.0,Pune,28.1,1.06,55.00000000000001,139879.0
Marble Slabs,Grade C,1200.0,sq.ft,3.3,37.1,252000.0,264600.0,Delhi,29.7,1.1,38.0,79992.0
Sanitaryware Ceramics,Grade B,50.0,Pieces,3.5,15.1,42500.0,44625.0,Pune,16.9,1.06,55.00000000000001,23624.0
PVC Pipes,Grade A,1000.0,Pieces,0.6,20.2,260000.0,273000.0,Chennai,20.7,1.02,75.0,178388.0
Aluminum Windows,Grade B,2000.0,Pieces,2.6,38.4,5600000.0,5880000.0,Mysuru,27.4,0.95,55.00000000000001,2249949.0
Granite Slabs,Grade E,500.0,sq.ft,0.9,56.0,95000.0,99750.0,Mumbai,28.9,1.18,0.0,0.0
Structural Wood / Timber,Grade A,100.0,sq.ft,11.4,25.5,13000.0,13650.0,Delhi,26.2,1.1,75.0,8576.0
TMT Steel Rods,Grade D,200.0,kg,3.4,59.7,11600.0,12180.0,Bangalore,18.3,1.12,22.0,1776.0
Galvanized Iron (GI) Pipes,Grade C,1000.0,Pieces,0.8,43.0,550000.0,577500.0,Delhi,13.7,1.1,38.0,170886.0
Construction Sand,Grade C,40.0,Tonnes,4.9,48.7,72000.0,75600.0,Hyderabad,40.0,1.05,38.0,20801.0
Construction Sand,Grade A,40.0,Tonnes,3.4,10.9,72000.0,75600.0,Mumbai,25.8,1.18,75.0,61061.0
Structural Wood / Timber,Grade C,250.0,sq.ft,4.1,75.1,32500.0,34125.0,Bangalore,13.1,1.12,38.0,6678.0
Cement Blocks,Grade B,2000.0,Pieces,1.3,14.1,104000.0,109200.0,Bangalore,35.2,1.12,55.00000000000001,57586.0
Marble Slabs,Grade A,1200.0,sq.ft,4.6,15.7,252000.0,264600.0,Mumbai,47.7,1.18,75.0,191637.0
Marble Slabs,Grade B,1200.0,sq.ft,1.2,11.2,252000.0,264600.0,Mysuru,30.9,0.95,55.00000000000001,118567.0
Marble Slabs,Grade B,100.0,sq.ft,0.5,23.6,21000.0,22050.0,Chennai,30.3,1.02,55.00000000000001,9172.0
Sanitaryware Ceramics,Grade B,1000.0,Pieces,4.9,10.4,850000.0,892500.0,Delhi,16.5,1.1,55.00000000000001,500447.0
Granite Slabs,Grade E,100.0,sq.ft,3.7,60.1,19000.0,19950.0,Mysuru,37.2,0.95,0.0,0.0
Corrugated Roofing Sheets,Grade D,800.0,sq.ft,5.6,80.7,52000.0,54600.0,Hyderabad,46.3,1.05,22.0,6107.0
Corrugated Roofing Sheets,Grade C,1200.0,sq.ft,1.2,67.2,78000.0,81900.0,Mumbai,12.6,1.18,38.0,18972.0
Structural Wood / Timber,Grade B,1200.0,sq.ft,1.9,30.3,156000.0,163800.0,Chennai,47.8,1.02,55.00000000000001,71877.0
Electrical Wiring & Panels,Grade B,1000.0,Pieces,0.7,14.0,220000.0,231000.0,Hyderabad,37.4,1.05,55.00000000000001,119146.0
Granite Slabs,Grade A,800.0,sq.ft,1.4,20.4,152000.0,159600.0,Delhi,25.9,1.1,75.0,115920.0
Asbestos / Hazardous Sheeting,Grade E,100.0,sq.ft,1.0,51.2,0.0,0.0,Hyderabad,6.5,1.05,0.0,0.0
Cement Blocks,Grade A,5000.0,Pieces,1.5,27.1,260000.0,273000.0,Delhi,23.7,1.1,75.0,188763.0
Mixed Demolition Waste,Grade A,10.0,Tonnes,1.4,22.9,4500.0,4725.0,Mumbai,31.4,1.18,75.0,3552.0
Construction Sand,Grade C,10.0,Tonnes,3.7,21.3,18000.0,18900.0,Bangalore,42.9,1.12,38.0,6155.0
